brokerageSlabCode, clientID, brokerageType, slabType, segment, TradingAmount,tradePrice, quantity, brokerageOfferper, brokerageOfferAmt, perAmount, amtAmount
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,350.3,350.3,1,0.01,0.0,0.03503,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
